S/N,Project ID,Data requested,BI service,Delivery Method,RNA Box No.,Original Sample Position,Sample Accession Number [R8800xxxx],Internal ID,Client's Sample name  ,Sample Origin,RIN,Nanodrop Conc (ng/uL),Nanodrop A260/280,Nanodrop A230/260,DV200,Stranded/ Non-stranded,200ng RNA input Vol[ul],NFW ul (to 8ul),Input plate position,RNA input [ng],Library  Prep Plate,Lib_Conc. (ng/ul),D1000 Tapestation Library peak Size(bp),D1000 Tapestation Library Average Size(bp),Library Prep,Well Position,ng for pooling for 1pmol,volume for circularization (µl),ssCir plate pos,Qubit ssDNA Conc.[ng/µL] (>0.6),"DNB conc
Qubit ssDNA ng/ul",Index(*),Sequencing Mode(*),Required Reads,data output,output_ratio,Flowcell ID,Read1 files path(*),Read2 files path
434,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,H01,R88010102,,R2403SJ-A01,Cultured cells,9.6,73.2,2.1,0.4,97.2,Stranded,2.7,5.3,A02,200,LP19,13.4,523,523,LP19,A2,345.18,2.58,A11,4.09,18.4,UDB105,PE150,40,57.4,1.44,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB105_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB105_2.fq.gz
435,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,A02,R88010103,,R2403SJ-B02,Cultured cells,9.5,77.6,2.1,1,96.8,Stranded,2.6,5.4,B02,200,LP19,34.46,536,533,LP19,B2,351.78,1.02,A11,4.09,18.4,UDB106,PE150,40,56.3,1.41,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB106_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB106_2.fq.gz
436,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,B02,R88010104,,R2404SJ-D3-A01,Cultured cells,9.9,66.4,2.1,1.5,95.8,Stranded,3,5,C02,200,LP19,31.1,501,513,LP19,C2,338.58,1.09,A11,4.09,18.4,UDB107,PE150,40,56.8,1.42,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB107_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB107_2.fq.gz
437,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,C02,R88010105,,R2404SJ-S1-A01,Cultured cells,9.8,53.4,2.1,2,96.1,Stranded,3.7,4.3,D02,200,LP19,11.44,500,536,LP19,D2,353.76,3.09,A11,4.09,18.4,UDB108,PE150,40,57.7,1.44,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB108_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB108_2.fq.gz
438,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,D02,R88010106,,R2404SJ-S2-A02,Cultured cells,9.7,67.9,2.2,0.8,97,Stranded,2.9,5.1,E02,200,LP19,27.85,448,503,LP19,E2,331.98,1.19,A11,4.09,18.4,UDB109,PE150,40,58.5,1.46,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB109_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB109_2.fq.gz
439,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,E02,R88010107,,R2404SJ-S3-A02,Cultured cells,9.8,41.7,2.3,0.2,97.5,Stranded,4.8,3.2,F02,200,LP19,14.43,451,504,LP19,F2,332.64,2.31,A11,4.09,18.4,UDB110,PE150,40,51.5,1.29,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB110_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB110_2.fq.gz
440,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,F02,R88010108,,R2404SJ-S4-A01,Cultured cells,9.6,100.8,2.2,0.3,96,Stranded,2,6,G02,200,LP19,28.38,496,498,LP19,G2,328.68,1.16,A11,4.09,18.4,UDB111,PE150,40,57.3,1.43,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB111_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB111_2.fq.gz
441,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,G02,R88010109,,R2404SJ-S5-A01,Cultured cells,9.6,53.2,2.1,0.5,95.5,Stranded,3.8,4.2,H02,200,LP19,29.3,493,510,LP19,H2,336.6,1.15,A11,4.09,18.4,UDB112,PE150,40,49.9,1.25,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB112_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB112_2.fq.gz
442,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,H02,R88010110,,R2404SJ-D3-B02,Cultured cells,9.8,64.1,2.1,1.6,96.1,Stranded,3.1,4.9,A03,200,LP19,18.87,492,504,LP19,A3,332.64,1.76,A11,4.09,18.4,UDB113,PE150,40,53.1,1.33,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB113_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB113_2.fq.gz
443,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,A03,R88010111,,R2404SJ-S1-B01,Cultured cells,9.8,66.7,2.1,2.1,96.2,Stranded,3,5,B03,200,LP19,9.18,508,504,LP19,B3,332.64,3.62,A12,1.75,28.1,UDB114,PE150,40,34,0.85,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB114_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB114_2.fq.gz
444,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,B03,R88010112,,R2404SJ-S2-B01,Cultured cells,9.8,72.6,2.1,0.7,96.6,Stranded,2.8,5.2,C03,200,LP19,29.05,519,521,LP19,C3,343.86,1.18,A12,1.75,28.1,UDB115,PE150,40,33.4,0.84,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB115_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB115_2.fq.gz
445,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,C03,R88010113,,R2404SJ-S3-B02,Cultured cells,9.7,77.4,2.1,0.5,96.3,Stranded,2.6,5.4,D03,200,LP19,17.18,456,502,LP19,D3,331.32,1.93,A12,1.75,28.1,UDB116,PE150,40,34.6,0.86,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB116_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB116_2.fq.gz
446,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,D03,R88010114,,R2404SJ-S4-B02,Cultured cells,9.6,86.5,2.1,0.8,96.6,Stranded,2.3,5.7,E03,200,LP19,31.64,483,509,LP19,E3,335.94,1.06,A12,1.75,28.1,UDB117,PE150,40,34.1,0.85,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB117_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB117_2.fq.gz
447,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,E03,R88010115,,R2404SJ-S5-B01,Cultured cells,9.5,104.9,2.1,1.1,97.3,Stranded,1.9,6.1,F03,200,LP19,16.24,440,480,LP19,F3,316.8,1.95,A12,1.75,28.1,UDB118,PE150,40,32.2,0.8,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB118_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB118_2.fq.gz
448,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,F03,R88010116,,R2404SJ-D3-C01,Cultured cells,9.9,62.6,2.1,2,96.2,Stranded,3.2,4.8,G03,200,LP19,11.2,504,495,LP19,G3,326.7,2.92,A12,1.75,28.1,UDB119,PE150,40,33,0.83,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB119_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB119_2.fq.gz
449,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,G03,R88010117,,R2404SJ-S1-C01,Cultured cells,9.8,61.6,2.1,2.2,95.9,Stranded,3.2,4.8,H03,200,LP19,12.6,453,495,LP19,H3,326.7,2.59,A12,1.75,28.1,UDB120,PE150,40,31.3,0.78,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB120_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB120_2.fq.gz
450,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,H03,R88010118,,R2404SJ-S2-C01,Cultured cells,9.4,68,2.1,1.1,97.2,Stranded,2.9,5.1,A04,200,LP19,22.39,522,535,LP19,A4,353.1,1.58,A12,1.75,28.1,UDB121,PE150,40,32.7,0.82,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB121_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB121_2.fq.gz
451,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,A04,R88010119,,R2404SJ-S3-C01,Cultured cells,9.7,53.5,2.1,0.9,96.8,Stranded,3.7,4.3,B04,200,LP19,12.91,543,541,LP19,B4,357.06,2.77,A12,1.75,28.1,UDB122,PE150,40,34.5,0.86,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB122_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB122_2.fq.gz
452,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,B04,R88010120,,R2404SJ-S4-C02,Cultured cells,9.5,90.3,2.1,0.6,96.3,Stranded,2.2,5.8,C04,200,LP19,40.6,498,512,LP19,C4,337.92,0.83,A12,1.75,28.1,UDB123,PE150,40,36,0.9,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB123_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB123_2.fq.gz
453,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,C04,R88010121,,R2404SJ-S5-C02,Cultured cells,9.4,43.9,2.2,0.5,96.3,Stranded,4.6,3.4,D04,200,LP19,28.05,527,538,LP19,D4,355.08,1.27,B1,4.21,17.3,UDB124,PE150,40,43.7,1.09,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB124_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB124_2.fq.gz
454,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,D04,R88010122,,R2405SJ-S1-R01,Cultured cells,9.7,64.2,2.2,0.9,95.7,Stranded,3.1,4.9,E04,200,LP19,9.25,498,532,LP19,E4,351.12,3.8,B1,4.21,17.3,UDB125,PE150,40,60.1,1.5,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB125_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB125_2.fq.gz
455,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,E04,R88010123,,R2405SJ-S4-R02,Cultured cells,9.4,68.4,2.2,0.8,95.6,Stranded,2.9,5.1,F04,200,LP19,14.23,513,509,LP19,F4,335.94,2.36,B1,4.21,17.3,UDB126,PE150,40,62.7,1.57,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB126_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB126_2.fq.gz
456,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,F04,R88010124,,R2406SJ-D3-A02,Cultured cells,9.7,44.3,2.2,1.6,95.7,Stranded,4.5,3.5,G04,200,LP19,13.26,462,510,LP19,G4,336.6,2.54,B1,4.21,17.3,UDB127,PE150,40,67.1,1.68,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB127_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB127_2.fq.gz
457,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,G04,R88010125,,R2406SJ-S4-A01,Cultured cells,9.4,48.8,2.1,0.8,96.2,Stranded,4.1,3.9,H04,200,LP19,31.85,491,505,LP19,H4,333.3,1.05,B1,4.21,17.3,UDB128,PE150,40,60.9,1.52,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB128_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB128_2.fq.gz
458,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,H04,R88010126,,R2406SJ-D3-B02,Cultured cells,9.6,131.9,2.1,1,94.4,Stranded,1.5,6.5,A05,200,LP19,23.12,496,519,LP19,A5,342.54,1.48,B1,4.21,17.3,UDB129,PE150,40,71.2,1.78,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB129_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB129_2.fq.gz
459,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,A05,R88010127,,R2406SJ-S4-B01,Cultured cells,9.4,86.8,2.1,1,96.1,Stranded,2.3,5.7,B05,200,LP19,32.11,514,536,LP19,B5,353.76,1.1,B1,4.21,17.3,UDB130,PE150,40,63,1.58,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB130_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB130_2.fq.gz
460,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,B05,R88010128,,R2406SJ-D3-C02,Cultured cells,9.6,50,2.1,0.8,94.8,Stranded,4,4,C05,200,LP19,13.5,508,532,LP19,C5,351.12,2.6,B1,4.21,17.3,UDB131,PE150,40,65.7,1.64,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB131_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB131_2.fq.gz
461,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,C05,R88010129,,R2406SJ-S4-C02,Cultured cells,9.6,43.1,2.1,1.1,96.7,Stranded,4.6,3.4,D05,200,LP19,26.29,446,541,LP19,D5,357.06,1.36,B1,4.21,17.3,UDB132,PE150,40,64.4,1.61,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB132_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB132_2.fq.gz
462,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,D05,R88010130,,R2410MC-StemScale- A01,Cultured cells,9.8,14.4,2.3,0.8,95.1,Stranded,8,0,E05,115.5,LP19,7.63,527,543,LP19,E5,358.38,4.7,B1,4.21,17.3,UDB133,PE150,40,69.4,1.73,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB133_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB133_2.fq.gz
463,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,E05,R88010131,,R2410MC-S1- A02,Cultured cells,9.6,89.3,2.1,1.8,96,Stranded,2.2,5.8,F05,200,LP19,12.34,505,522,LP19,F5,344.52,2.79,B2,4.04,15.3,UDB134,PE150,40,71.1,1.78,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB134_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB134_2.fq.gz
464,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,F05,R88010132,,R2410MC-S2- A02,Cultured cells,9.5,103.7,2.1,1.4,96.2,Stranded,1.9,6.1,G05,200,LP19,26.88,478,500,LP19,G5,330,1.23,B2,4.04,15.3,UDB135,PE150,40,64,1.6,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB135_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB135_2.fq.gz
465,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,G05,R88010133,,R2410MC-S3- A02,Cultured cells,9.5,42.1,2.1,1.9,97.3,Stranded,4.7,3.3,H05,200,LP19,27.66,495,507,LP19,H5,334.62,1.21,B2,4.04,15.3,UDB136,PE150,40,67.6,1.69,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB136_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB136_2.fq.gz
466,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,H05,R88010134,,R2410MC-S4- A02,Cultured cells,9.7,66,2.1,1.6,97.5,Stranded,3,5,A06,200,LP19,10.2,504,511,LP19,A6,337.26,3.31,B2,4.04,15.3,UDB137,PE150,40,69,1.73,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB137_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB137_2.fq.gz
467,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,B06,R88010136,,R2410MC-S1- B02,Cultured cells,9.6,133.8,2.1,1.4,95.2,Stranded,1.5,6.5,C06,200,LP19,24.3,500,511,LP19,C6,337.26,1.39,B2,4.04,15.3,UDB139,PE150,40,69.8,1.74,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB139_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB139_2.fq.gz
468,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,C06,R88010137,,R2410MC-S2- B02,Cultured cells,9.5,63.4,2.1,1.2,95.7,Stranded,3.2,4.8,D06,200,LP19,31.43,521,529,LP19,D6,349.14,1.11,B2,4.04,15.3,UDB140,PE150,40,52.4,1.31,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB140_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB140_2.fq.gz
469,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,D06,R88010138,,R2410MC-S3- B02,Cultured cells,9.6,43.7,2.2,1.6,96.2,Stranded,4.6,3.4,E06,200,LP19,30.55,502,506,LP19,E6,333.96,1.09,B2,4.04,15.3,UDB141,PE150,40,72.4,1.81,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB141_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB141_2.fq.gz
470,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,E06,R88010139,,R2410MC-S4- B01,Cultured cells,9.1,44.1,2.1,1.7,95.5,Stranded,4.5,3.5,F06,200,LP19,27.1,522,528,LP19,F6,348.48,1.29,B2,4.04,15.3,UDB142,PE150,40,69.6,1.74,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB142_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB142_2.fq.gz
471,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,F06,R88010140,,R2410MC-StemScale- C01,Cultured cells,9.7,40.3,2,2.3,96.5,Stranded,5,3,G06,200,LP19,26.21,506,514,LP19,G6,339.24,1.29,B2,4.04,15.3,UDB143,PE150,40,71.9,1.8,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB143_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB143_2.fq.gz
472,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,G06,R88010141,,R2410MC-S1- C01,Cultured cells,9.6,29.3,2,2,96,Stranded,6.8,1.2,H06,200,LP19,18.92,492,492,LP19,H6,324.72,1.72,B2,4.04,15.3,UDB144,PE150,40,69.3,1.73,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB144_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB144_2.fq.gz
473,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 23,H06,R88010142,,R2410MC-S2- C02,Cultured cells,9.4,86.1,2.1,1,96,Stranded,2.3,5.7,A07,200,LP19,33.57,516,525,LP19,A7,346.5,1.03,B3,3.17,22.5,UDB145,PE150,40,73.2,1.83,E200021574,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB145_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021574_L01_20884/E200021574_L01/E200021574_L01_UDB145_2.fq.gz
